cadence,stride_time_mean,stride_time_std,mean_pressure_left,mean_pressure_right,peak_pressure_left,peak_pressure_right,pressure_variance_left,pressure_variance_right,heel_to_toe_ratio_left,heel_to_toe_ratio_right,contact_area_left,contact_area_right,impact_force_left,impact_force_right,imu_acc_mean_left,imu_acc_mean_right,imu_acc_std_left,imu_acc_std_right,imu_gyro_mean_left,imu_gyro_mean_right,imu_gyro_std_left,imu_gyro_std_right,step_symmetry,force_symmetry,mood
90.0,0.6620000000000001,0.13614697940094,1068.1740625,681.9696875,4011.0,4071.0,2041746.3575147456,1318121.2056436525,0.8249850878144055,1.8,1343,992,2942.8259375,3389.0303125,6.792056666666666,2.459593333333333,6.71050043788009,9.037542923159789,-0.0291083333333332,0.0036375,2.476008026696176,2.3762338439416584,0.6018518490655007,1.5663072428474951,angry
90.0,0.6980000000000001,0.1259206099095775,1044.5125,686.5359375,4011.0,4071.0,2030434.5148437505,1312707.3087084962,0.7530248351018529,1.8,1328,1007,2966.4875,3384.4640625,6.831505833333332,2.3620966666666665,6.798088213728375,8.927066736559603,-0.0009383333333332,0.0066549999999999,2.5507321399022977,2.391638357411435,0.6443298935859284,1.5214243587628298,angry
105.0,0.6416666666666667,0.2012806222389251,1028.528125,680.5296875,4006.0,4020.0,2036493.1260839847,1370596.4384936525,0.7223537736282001,1.8,1287,960,2977.471875,3339.4703125,6.871014166666667,2.4990566666666667,6.587721327259725,8.967100529163384,-0.22522,-0.1291725,2.432324078242865,2.285255039248446,0.5776699001083986,1.511364077689316,angry
90.0,0.6340000000000001,0.1785049018934774,1026.72375,674.4690625,3987.0,4095.0,2009142.698060938,1361491.090917871,0.7749611591164293,1.8,1287,941,2960.27625,3420.5309375,6.707716666666667,2.419758333333333,6.541544511407243,9.297969363160105,-0.2176341666666666,-0.1219341666666666,2.3480276273217,2.4364731857405366,0.5868544573387114,1.5222695977663625,angry
105.0,0.6,0.0939858145324778,1008.8065625,710.3246875,3994.0,4095.0,1975590.9360194337,1369322.3123905277,0.7596038383564994,1.8,1268,1027,2985.1934375,3384.6753125,6.695219166666667,2.358305833333333,6.781598231818168,9.17764034246454,-0.0285999999999999,0.0697141666666666,2.4683685195556464,2.538724775512168,0.573394492782594,1.4202048427041265,angry
90.0,0.5720000000000001,0.06209669878504,968.2109375,702.5865625,3984.0,4077.0,2031347.7933178712,1323618.5993819337,0.7825053042922695,1.8,1167,1036,3015.7890625,3374.4134375,7.117340833333333,2.4045475,6.842987729274348,8.625261274172729,0.3068533333333333,0.1178649999999999,2.4091262624629888,2.2884967012812143,0.5043103426538348,1.3780664017779782,angry
75.0,0.7875000000000001,0.1528684074621044,964.825625,719.6378125,3978.0,4095.0,1970723.1089683592,1392167.1166327149,0.7477330310021838,1.8,1195,1026,3013.174375,3375.3621875,6.918499166666667,2.36844,6.664436064789426,8.961223510384432,0.0419975,0.0186666666666666,2.3385102752593907,2.2556293649937755,0.4915966365899301,1.3407100167617858,angry
90.0,0.696,0.1791758912354003,1008.6021875,654.098125,3991.0,4095.0,2012107.2289327148,1292723.0472464846,0.8503175935512166,1.8,1251,983,2982.3978125,3440.901875,6.984958333333334,2.349170833333333,6.7042457047702655,9.535838157444926,0.1915025,0.0170983333333333,2.405646720390815,2.5334756755619123,0.5121951198691256,1.5419738222885535,angry
105.0,0.6233333333333334,0.1604853748961429,1006.70125,695.8528125,3991.0,4050.0,1973298.930748437,1284525.0330233397,0.9501094564971622,1.8,1258,1054,2984.29875,3354.1471875,6.7400641666666665,2.26822,6.680175357607212,9.056106643030068,-0.0655241666666666,-0.0816241666666666,2.396467554078149,2.4015432749066394,0.5196850373240747,1.4467157859669988,angry
90.0,0.704,0.2533456137374397,977.0915625,749.1728125,4006.0,4043.0,1940840.7225538087,1342779.09169834,1.137045760658459,1.8,1233,1115,3028.9084375,3293.8271875,6.790526666666668,2.237095833333333,6.809238495305885,8.515186855553003,-0.0550366666666666,-0.0427283333333333,2.4659213204511525,2.208767221671527,0.5551020385506039,1.304227202179434,angry
